eval,a_median,a_q25,a_q75,b_median,b_q25,b_q75,c_median,c_q25,c_q75,d_median,d_q25,d_q75
117,29.069465360968493,26.25561121155961,30.804998439452547,29.41354234349595,27.351308928817517,30.412833733403136,28.1789521600465,26.896694644705953,29.32868495760428,28.14035202719407,26.859592994440238,29.127251003911283
118,29.069465360968493,26.25561121155961,30.804998439452547,29.41354234349595,27.351308928817517,30.412833733403136,28.1789521600465,26.896694644705953,29.32868495760428,28.14035202719407,26.859592994440238,29.127251003911283
119,29.069465360968493,26.25561121155961,30.804998439452547,29.41354234349595,27.351308928817517,30.412833733403136,28.1789521600465,26.896694644705953,29.32868495760428,28.040399446778373,26.774710398835115,29.07705956663978
120,29.069465360968493,26.25561121155961,30.804998439452547,29.41354234349595,27.351308928817517,30.412833733403136,28.1789521600465,26.896694644705953,29.32868495760428,28.040399446778373,26.774710398835115,29.07705956663978
121,29.069465360968493,26.25561121155961,30.800480425327255,29.41354234349595,27.351308928817517,30.412833733403136,28.1789521600465,26.896694644705953,29.32868495760428,28.040399446778373,26.774710398835115,29.07705956663978
122,29.069465360968493,26.25561121155961,30.800480425327255,29.41354234349595,27.351308928817517,30.412833733403136,28.1789521600465,26.896694644705953,29.32868495760428,28.040399446778373,26.774710398835115,29.07705956663978
123,29.069465360968493,26.25561121155961,30.800480425327255,29.41354234349595,27.351308928817517,30.412833733403136,28.1789521600465,26.896694644705953,29.32868495760428,28.040399446778373,26.774710398835115,29.07705956663978
124,29.069465360968493,26.25561121155961,30.800480425327255,29.41354234349595,27.351308928817517,30.412833733403136,28.1789521600465,26.896694644705953,29.32868495760428,27.778975317272167,26.585825800497542,29.048258895905533
125,29.069465360968493,26.25561121155961,30.558302210893768,29.41354234349595,27.351308928817517,30.412833733403136,28.1789521600465,26.89614508698394,29.32868495760428,27.778975317272167,26.585825800497542,29.048258895905533
126,29.069465360968493,26.25561121155961,30.558302210893768,29.41354234349595,27.351308928817517,30.412833733403136,28.1789521600465,26.89614508698394,29.32868495760428,27.778975317272167,26.585825800497542,29.048258895905533
127,28.9310894699371,26.25561121155961,30.558302210893768,29.41354234349595,27.351308928817517,30.412833733403136,28.1789521600465,26.89614508698394,29.32868495760428,27.778975317272167,26.585825800497542,28.88831659499379
128,28.576154296016504,26.25561121155961,30.558302210893768,29.32133257592748,27.351308928817517,30.33081387964126,28.1789521600465,26.89614508698394,29.32868495760428,27.778975317272167,26.585825800497542,28.88831659499379
129,28.576154296016504,26.25561121155961,30.558302210893768,29.32133257592748,27.351308928817517,30.33081387964126,28.1789521600465,26.89614508698394,29.32868495760428,27.778975317272167,26.585825800497542,28.88831659499379
130,28.576154296016504,26.25561121155961,30.558302210893768,29.32133257592748,27.351308928817517,30.33081387964126,28.165627061847513,26.89614508698394,29.190373939126996,27.778975317272167,26.585825800497542,28.88831659499379
131,28.576154296016504,26.243275429183733,30.558302210893768,29.32133257592748,27.351308928817517,30.33081387964126,28.165627061847513,26.89614508698394,29.190373939126996,27.778975317272167,26.585825800497542,28.88831659499379
132,28.576154296016504,26.243275429183733,30.558302210893768,29.32133257592748,27.351308928817517,30.33081387964126,28.165627061847513,26.89614508698394,29.190373939126996,27.778975317272167,26.585825800497542,28.88831659499379
133,28.576154296016504,26.205630559870336,30.558302210893768,29.134063126614215,27.10619374776985,30.33081387964126,28.1421862664685,26.89614508698394,28.938798855950136,27.778975317272167,26.585825800497542,28.88831659499379
134,28.576154296016504,26.028060747334614,30.558302210893768,29.134063126614215,27.10619374776985,30.33081387964126,28.1421862664685,26.89614508698394,28.938798855950136,27.778975317272167,26.585825800497542,28.88831659499379
135,28.576154296016504,26.028060747334614,30.558302210893768,28.538222501526402,27.10619374776985,30.32213192916388,28.1421862664685,26.89614508698394,28.938798855950136,27.778975317272167,26.585825800497542,28.726170319002364
136,28.576154296016504,26.028060747334614,30.558302210893768,28.538222501526402,27.10619374776985,30.32213192916388,28.1421862664685,26.89614508698394,28.938798855950136,27.778975317272167,26.585825800497542,28.726170319002364
137,28.576154296016504,26.028060747334614,30.558302210893768,28.538222501526402,27.10619374776985,30.32213192916388,28.1421862664685,26.89614508698394,28.938798855950136,27.778975317272167,26.585825800497542,28.726170319002364
138,28.576154296016504,26.028060747334614,30.558302210893768,28.538222501526402,27.10619374776985,30.32213192916388,28.1421862664685,26.89614508698394,28.938798855950136,27.491718675574127,26.585825800497542,28.433720514397073
